ID,Question,A,B,C,D,E,Answer
641,Le infezioni nosocomiali più frequenti sono:,,faringiti e polmoniti,infezioni urinarie,infezioni chirurgiche,otiti,E
642,"Le seguenti affermazioni concernenti la funzione renale e l'equilibrio
acido-base, sono tutte vere tranne:",,"normalmente viene riassorbita la quasi totalità dell'acqua passata nell'
ultrafiltrato glomerulare","quando la glicemia supera un valore critico (soglia renale) il glucosio
compare nelle urine","il riassorbimento dell'acqua a livello renale dipende esclusivamente dal
riassorbimento del sodio",,D
643,Un innalzamento del C,carcinoma del cavo orale;,neoplasia benigna prostatica;,neoplasia ovarica;,patologia infiammatoria gastroenterica;,carcinoma del colon.,E
644,"Quali di questi esami urinari è il più indicato nel monitoraggio del diabete
mellito:",,Proteinuria,Microematuria,Leucocituria,Glicosuria,E
645,La sindrome di Gilbert è:,,Un ittero acquisito a iperbilirubinemia prevalentemente diretta,Un ittero congenito a iperbilirubinemia prevalentemente diretta,"Un ittero congenito a iperbilirubinemia prevalentemente indiretta
intensificato dal digiuno o dallo stress","Un ittero congenito a iperbilirubinemia prevalentemente indiretta
migliorato dal digiuno o dallo stress",E
646,Qual è l'elemento fondamentale nella diagnosi di pneumoconiosi?,+,l'esame funzionale,il lavaggio broncoalveolare,,,E
647,Quale delle seguenti è indicazione alla mediastinoscopia?,,biopsia tiroidea,biopsia linfonodi pretracheali,biopsia della parete toracica,biopsia pleurica,E
648,CARCINOM,cirrosi epatica,alcoolismo cronico,mieloma multiplo,sarcoidosi,spondilite anchilopoietica,E
649,La malattia reumatica si manifesta in genere:,,dopo mesi da una infezione morbillosa,subito dopo una infezione da micoplasma,successivamente a difterite,alcune settimane dopo un'infezione streptococcica,E
650,I tumori maligni degli epiteli ghiandolari possono essere:,,adenocarcinomi,fibroadenomi papilliferi,epiteliomi,sarcomi,E
651,Sono causa di poliglobulia secondaria:,,insufficienza respiratoria cronica,emorragia cronica,leucemia mieloide cronica,policitemia vera,E
652,Quale delle sottoriportate è una cellula del sistema immunitario cutaneo?,,Melanocita,orneocita,Fibroblasto,Fibrocellula muscolare liscia,E
653,"Quale delle seguenti affermazioni riguardanti la diagnostica
biochimico-clinica del diabete è VERA?",,"L'assenza di glicosuria in un campione estemporaneo di urina esclude con
certezza la presenza di diabete mellito.","La determinazione degli anticorpi anti-insulina è un test di screening per la
diagnosi di diabete mellito","Nel carico orale di glucosio standard (soggetti adulti, non in gravidanza) si
somministrano 100 grammi di glucosio.","Per il monitoraggio del paziente diabetico è consigliabile la determinazione
dell'emoglobina glicata con frequenza quindicinale.",E
654,In quali condizioni usi la lidocaina come farmaco di scelta?,V di III grado,tachicardia ventricolare con presenza di polso,tachicardia ventricolare con torsione di punta,blocco,flutter atriale,E
655,"L'esame TC del torace è di regola in grado di evidenziare lesioni polmonari
del diametro di:",,> o uguale 5 mm,> o uguale 8 mm,> o uguale 1 cm,< o uguale 1 mm,E
656,"Quale metodo contraccettivo permette di limitare la trasmissione delle
Malattie Sessualmente Trasmesse",,contraccezione ormonale (pillola),IU,preservativo,tutti i precedenti,E
657,Le metastasi:,,Sono caratteristiche uniche dei tumori benigni,Non sono prodotte dai tumori maligni,Sono ormoni secreti dalla cellula neoplasticano,Nessuna delle risposte precedenti,E
658,Cos'è un angioma piano mediano della fronte del neonato?,,Una malformazione vascolare che tende all'autoregressione,Una malformazione vascolare che tende a peggiorare nel tempo,Una malformazione artero-venosa,Nessuna delle precedenti,E
659,"Il neurone, unità morfo-funzionale del tessuto nervoso, è normalmente
costituito da:",,"Pirenoforo, dendriti e un assone","Pirenoforo, dendriti e uno o due assoni",endriti e assoni,Soma e sinapsi,E
660,Nella fibrillazione atriale l'onda P è,,presente,inserita dopo il QRS,inserita nel QRS,bifasica,E
661,I fattori di crescita sono:,,sostanze vitaminiche,fattori necessari all'accrescimento della catena polipeptidica,"condizioni ambientali che favoriscono la crescita di una popolazione
cellulare",fattori necessari alla maturazione della molecola di mRN,E
662,Quale è la causa principale del tumore polmonare?,,L'esposizione all'asbesto,L'esposizione al silicio,L'esposizione agli acari,L'esposizione alle graminacee,E
663,"Uomo di 70 anni, con un nodulo prostatico alla palpazione rettale: se la
biopsia prostatica di questa lesione evidenzia microscopicamente la
presenza di piccole ghiandole affollate contenenti cellule con nucleoli
prominenti, la diagnosi è:",denocarcinoma della prostata,Iperplasia prostatica,arcinoma a cellule transizionali metastatico,,Recente infarto della prostata,E
664,L'anidride carbonica è trasportata nel sangue:,,In massima parte disciolta fisicamente nel plasma,Legata alle proteine plasmatiche,In massima parte come ioni bicarbonati negli eritrociti,Unicamente sotto forma di acido carbonico,E
665,"Quali tra le seguenti caratteristiche TC orientano verso una lesione
maligna?",,calcificazioni,dimensioni < 1 cm,elevata vascolarizzazione,densità omogenea,E
666,Il trasporto attivo:,TP,richiede energia sotto forma di,"può permettere il trasporto di una sostanza da una regione a più bassa
concentrazione ad una regione a più alta concentrazione",tutte le precedenti,nessuna delle precedenti,E
667,Quale delle seguenti condizioni non è causa di embolie sistemiche,,stenosi mitralica,la fibrillazione atriale,Mixoma atriale sinistro,difetto del setto interatriale,E
668,Il foruncolo del condotto uditivo esterno e' frequente nei,,nefritici,cardiopatici,nefrosici,linfatici,E
669,La causa più frequente di iperparatiroidismo è:,,adenoma,carcinoma,iperplasia-adenoma,ipercorticosurrenalismo,E
670,"Lo shock settico da batteri Gram negativi è dovuto:Aal peptidoglicano
B*alle esotossine
C*alle endotossine
D*alla proteina M
E*al fosfolipide",,,,,,
671,Nell' insufficienza corticosurrenalica l'ipotensione ortostatica è associata a:,,diabete mellito,ipotiroidismo primitivo,morbo di Parkinson,nessuna delle precedenti,E
672,"Quale delle seguenti alterazioni immunologiche si ritrova nella dermatite
atopica?",,aumentata sintesi di Ig,diminuizione delle reazioni di ipersensibilità ritardata,aumentata produzione di citochine tipo I,tutte le precedenti,E
673,La causa più comune di ipotiroidismo spontaneo dell'adulto è:,,tiroidite cronica autoimmune (di Hashimoto),tiroidite acuta,tiroidite di Riedel,tumori della tiroide,E
674,Nell'uretra prostatica si aprono:,,i dotti deferenti,il canale dell'epididimo,"i dotti eiaculatori, le ghiandole prostatiche e l'utricolo",le vescichette seminali,E
675,Qual è la triade sintomatologica caratteristica dell'embolia polmonare?,,"dolore toracico, dispnea, emottisi","tachicardia, ipertensione arteriosa, sudorazione","dolore puntorio, bradicardia, sudorazione","cardiopalmo, ipotensione, ittero",E
676,Il segno scintigrafico patognomonico di embolia polmonare è:,,difetto di perfusione segmentario con alterata ventilazione,difetto di ventilazione segmentario con normale perfusione,difetto di perfusione non segmentario con normale ventilazione,difetto di perfusione non segmentario con alterata ventilazione,E
677,,Mucillagini,Osmotici,Stimolanti o di contatto,etergenti,Lubrificanti,E
678,"La sindrome caratterizzata dal pallore, acrocianosi alle mani ed ai piedi,
alla punta del naso ed alle orecchie, da
anemia emolitica cronica, e' la:",,insufficienza cronica congestizia di circolo,panarterite nodosa,malattia da agglutinine fredde,porfiria acuta intermittente,E
679,"Quale delle seguenti osservazioni depone per una più forte evidenza a
favore di un importante componente genetica nel diabete mellito di tipo I
(IDDM)?",,il 10% circa degli affetti hanno un fratello pure affetto,,,,B
680,"Una significativa diminuzione del numero delle cellule T CD4+ nell'uomo
porta verosimilmente a:",,Una esclusiva depressione della risposta immunitaria umorale,Una depressione della risposta cellulo-mediata,Tutte e tre,Nessuna delle tre,E
681,Le cellule di Reed-Sternberg sono patognomoniche di:,,di tipo immunoblastico.,arcinoma basocellulare,,Linfoma,E
682,"Ragazzo di 12 anni con colorito cianotico e strana forma delle dita. Il
medico lo visita, percepisce un soffio cardiaco e, in attesa
dell'ecocardiografia, gli fa fare un Rx torace che mette in evidenza un cuore
a scarpa e campi polmonari ipoperfusi. Quale orientamento diagnostico vi
sembra prevalente?",,,Pervietà del dotto arterioso,Tetralogia di Fallot,Ritorno anomalo delle vene polmonari in atrio destro,E
683,"La richiesta di ossigeno nel muscolo durante lo sforzo muscolare porta alla
produzione di energia derivante dal catabolismo anaerobico del glucosio.
Ne risulta la produzione di un eccesso di acido lattico che viene rimosso dal
muscolo grazie al ciclo:",,della glutamina,ori,dell'acido citrico,dell'urea,E
684,"In una donna con cicli regolari di 28 giorni il periodo fecondo è
presumibilmente il:",,7°-11° giorno,10°16 giorno,18°-26° giorno,20°-29° giorno,E
685,La Vitamina E ha un importante ruolo:,,antiossidante,olesterolo,nel trasporto plasmatico del,nell'assorbimento intestinale del ferro,E
686,L'atopia è caratterizzata da un,,,,,ccesso di produzione di Ig,E
687,L'indagine di primo livello da eseguire in un paziente con ematemesi è:,,esofago-gastro-duodenoscopia,esame radiologico con pasto di bario,esame radiologico diretto dell'addome,ecografia addominale,E
688,L'ipotiroidismo provoca:,,iperidrosi,irsutismo,tachicardia,ipotermia,E
689,"Nel caso di infezione da Neisseria meningitidis il microrganismo può
essere isolato da:",,"Rinofaringe, sangue, liquido cerebrospinale","Urina, sangue, liquido cerebrospinale","Feci, sangue, liquido cerebrospinale","Feci, urina, broncoaspirato",E
690,La deformazione a falce delle emazie è dovuta a:,,turbe elettrolitiche,anticorpi,alterazioni di membrana,alterazione qualitativa dell'emoglobina,E
691,In quale delle seguenti condizioni è meno probabile il reperto di cianosi?,,fistola artero-venosa polmonare,ampia comunicazione interventricolare,ventricolo unico,persistenza di una vena cava superiore sinistra con sbocco in atrio sinistro,E
692,"La presenza di Helicobacter pylori nella mucosa gastrica è più
frequentemente associata a",,neoplasia gastrica,ulcera duodenale,esofagite da reflusso,ileite terminale,E
693,"Uno dei seguenti chemioterapici è un farmaco di scelta in caso di meningite
da ceppi di haemophilus influenzae produttori di beta-lattamasi. Indicare
quale:",mpicillina,,efalessina,Kanamicina,Piperacillina,E
694,"In quale delle malattie sottoriportate si riscontra la leucoplachia orale
capelluta?",I,Stomatiti da protesi improprie,,iabete,Stomatite infettiva,E
695,fil riscontro del cromosoma Philadelfia è caratteristico di,,diabete giovanile,leucemia mieloide cronica,coartazione aortica,pancreatite cronica,E
696,Gli effetti biologici delle radiazioni possono essere:,,solo somatici a breve termine,solo somatici a lungo termine,sia somatici che genetici,né somatici né genetici,E
697,Gli ormoni tiroidei tendono ad aumentare:,,il tempo di latenza dei riflessi tendinei,il consumo di ossigeno del cervello,le riserve di glicogeno del fegato,,D
698,L'agente eziologico più frequente dell'osteomielite acuta è:,,la Klebsiella,la Pseudomonas aeruginosa,lo Streptococcus,lo Staphilococcus aureus,E
699,Una cisti del Bartolini ascessualizzata va:,sportata chirurgicamente,,ontrollata frequentemente astenendosi da manovre chirurgiche,,,E
700,"Quale delle seguenti molecole agisce sulla stimolazione della motilità
intestinale?",,secretina,colecistochinina,acetilcolina,nessuna delle precedenti,E
701,La malattia di Graves è caratterizzata da:,,oftalmopatia infiltrativa,mixedema pretibiale,gozzo diffuso tossico,tutte le risposte precedenti sono corrette,E
702,"Tutte le seguenti affermazioni riguardanti il cancro dell'ovaio sono giuste
eccetto che:","P test) non sono efficaci nello screening
diagnostico di routine","Ha il più alto tasso di mortalità tra i più comuni cancri dell'apparato
genitale femminile",Tende ad essere asintomatico finchè non ha raggiunto uno stadio avanzato,"Il suo sviluppo può essere influenzato da fattori ambientali, culturali e
socioeconomici",Gli strisci di Papanicolau (P,E
703,"Nell' effettuuare una toracentesibisogna essere attenti a non perforare i vasi
che decorrono:",,lungo il bordo inferiore delle coste,subito dietro le coste,negli spazi intercostali,non vi sono vasi in questa regione,E
704,"Quale delle seguenti affermazioni definiscono l'inversione dei riflessi
osteo-tendinei?",,comparsa della risposta riflessa nell'aorto controlaterale,comparsa della risposta riflessa in un segmento omolaterale più distale,tutte le precedenti,nessuna delle precedenti,E
705,"In quale delle seguenti malattie il contenuto di glucosio nel liquor è
marcatamente diminuito:",,encefalite erpetica,meningite tubercolare,poliomielite,meningite da coxackievirus,E
706,L'insulina stimola la sintesi dell'enzima:,,Glucochinasi epatica,Glucoso-6-fosfatasi,Fruttoso difosfatasi,Piruvico carbossilasi,E
707,"Quale delle seguenti è la causa più frequente di idronefrosi pielica nel
bambino?",,vaso anomalo,calcolosi,reflusso vescico-ureterale,valvole dell'uretra posteriore,E
708,"L'uso degli anticoagulanti è controindicato in pazienti affetti dalle seguenti
malattie:",,ulcera duodenale pregressa,sanguinamento in atto,TI,infezioni batteriche,E
709,"Chi viene punito a seguito di rivelazione di segreto professionale se dal
fatto può derivare nocumento (art. 622 c.p.):",,solo il medico in qualità di incaricato di pubblico servizio,solo il medico di medicina generale,"solo i medici in qualità di pubblici ufficiali, incaricati di pubblico servizio o
esercenti un servizio di pubblica necessità","chiunque ne ha notizia per ragione del proprio stato o ufficio o della propria
professione o arte",E
